DODS,station,lon,lat,Hull No./Config and Location,region,type,owner
46053,46053,-119.85,34.25,2.3D11 (SC) East Santa Barb,46,Moored Buoys,NDBC
46054,46054,-120.47,34.25,3D81 (SC) West Santa Barb,46,Moored Buoys,NDBC
46059,46059,-129.95,38.07,3D89 (SC) West California,46,Moored Buoys,NDBC
46060,46060,-146.8,60.58,3D76 (AM) West Orca Bay,46,Moored Buoys,NDBC
46061,46061,-146.83,60.22,3D32 (AR) Seal Rocks,46,Moored Buoys,NDBC
46062,46062,-121.01,35.101,"3-meter discus buoy; ARES payload; Pt. San Luis, CA - 18 NM South Southwest of Morro Bay, CA",46,Moored Buoys,NDBC
46063,46063,-120.699,34.273,"3-meter discus buoy; ARES 4.4 payload; Pt.Conception, CA - 50NM West of Santa Barbara, CA",46,Moored Buoys,NDBC
46066,46066,-155.03,52.78,3D52 (AM) South Kodiak,46,Moored Buoys,NDBC
46069,46069,-120.2,33.67,3D44 (AM) South Santa Rosa Is,46,Moored Buoys,NDBC
46070,46070,175.15,55.07,3DV33 (AM) Southwest Bering Sea,46,Moored Buoys,NDBC
46071,46071,179,51.12,3D78 (AR) Western Aleutians,46,Moored Buoys,NDBC
46072,46072,-172.05,51.65,3D82 (AM) Central Aleutians,46,Moored Buoys,NDBC
46073,46073,-172,55.02,3D10 (AM) Southeast Bering Sea,46,Moored Buoys,NDBC
46075,46075,-160.82,53.98,3D70 (AM) Shumagin Islands,46,Moored Buoys,NDBC
46076,46076,-147.98,59.5,3DV36 (AM) Cape Cleare,46,Moored Buoys,NDBC
46077,46077,-154.17,57.9,3D84 (AM) Shelikof Strait,46,Moored Buoys,NDBC
46078,46078,-152.57,55.55,3D66 (AM) Albatross Bank,46,Moored Buoys,NDBC
46079,46079,-152.23,59.05,"6-meter NOMAD buoy; DACT payload; Barren Island, Alaska",46,Moored Buoys,NDBC
46080,46080,-150.03,57.93,3D62 (AM) Portlock Bank,46,Moored Buoys,NDBC
46081,46081,-148.25,60.78,6N35 (AR) Western Prince William Sound,46,Moored Buoys,NDBC
46082,46082,-143.37,59.67,3D48 (SM) Cape Suckling,46,Moored Buoys,NDBC
46083,46083,-137.98,58.3,3DV34 (AM) Fairweather Ground,46,Moored Buoys,NDBC
46084,46084,-136.1,56.6,3D73 (AR) Cape Edgecumbe,46,Moored Buoys,NDBC
46085,46085,-142.48,55.87,6N39 (AR) Central Gulf Of Alaska,46,Moored Buoys,NDBC
46086,46086,-118.03,32.48,3D12 (AR) San Clemente Basin,46,Moored Buoys,NDBC
46087,46087,-124.72,48.48,"3D77 (AR) Neah Bay, Wa",46,Moored Buoys,NDBC
46088,46088,-123.17,48.32,"3D47 (AM) New Dungeness, Wa",46,Moored Buoys,NDBC
46089,46089,-125.77,45.92,"3D85 (AM) Tillamook, Or",46,Moored Buoys,NDBC
46105,46105,-152.233,59.049,"1.8-meter discus buoy; WAMDAS payload; South Cook Inlet - 10NM NW of East Amatuli Light, AK",46,Moored Buoys,NDBC
46106,46106,-152.09,59.76,1.8-meter discus buoy; WAMDAS payload; Central Cook Inlet AK,46,Moored Buoys,NDBC
46107,46107,-147.992,59.925,1.8-meter discus buoy; WAMDAS payload; Montague Strait,46,Moored Buoys,NDBC
46108,,,,Lower Cook Inlet (204),,DWR,CDIP
46114,,,,"West Monterey Bay, CA (185)",,DWR,CDIP
46211,,,,"Grays Harbor, WA (036) ",,DWR,CDIP
46213,,,,"Cape Mendocino, CA (094)",,DWR,CDIP
46214,,,,"Point Reyes, CA (029)",,DWR,CDIP
46215,,,,"Diablo Canyon, CA (076)",,DWR,CDIP
46217,,,,"Anacapa Passage, CA (111)",,DWR,CDIP
46218,,,,"Harvest, CA (071)",,DWR,CDIP
46219,,,,"San Nicolas Island, CA (067)",,DWR,CDIP
46221,,,,"Santa Monica Bay, CA (028) ",,DWR,CDIP
46222,,,,"San Pedro, CA (092)",,DWR,CDIP
46224,,,,"Oceanside Offshore, CA (045)",,DWR,CDIP
46225,,,,"Torrey Pines Outer, CA (100)",,DWR,CDIP
46229,,,,"UMPQUA OFFSHORE, OR (139)",,DWR,CDIP
46232,,,,"Point Loma South, CA (191)",,DWR,CDIP
46235,,,,"Imperial Beach Nearshore, CA (155) ",,DWR,CDIP
46237,,,,"San Francisco Bar, CA (142)",,DWR,CDIP
46239,,,,"Point Sur, CA (157)",,DWR,CDIP
46240,,,,"Cabrillo Point, Monterey Bay, CA (158)",,DWR,CDIP
46242,,,,"Camp Pendleton Nearshore, CA (043)",,DWR,CDIP
46243,,,,"Clatsop Spit, OR (162)",,DWR,CDIP
46244,,,,"Humboldt Bay, North Spit, CA (168)",,DWR,CDIP
46246,,,,Ocean Station PAPA (166) ,,DWR,CDIP
46248,,,,"Astoria Canyon, OR (179)",,DWR,CDIP
46251,,,,"Santa Cruz Basin, CA (203)",,DWR,CDIP
46253,,,,"San Pedro South, CA (213)",,DWR,CDIP
46254,,,,"SCRIPPS Nearshore, CA (201)",,DWR,CDIP
46256,,,,"Long Beach Channel, CA (215)",,DWR,CDIP
46258,,,,"Mission Bay West, CA (220)",,DWR,CDIP
46259,,,,"Santa Lucia Escarpment, CA (222)",,DWR,CDIP
46260,,,,"Lakeside, OR (231)",,DWR,CDIP
46261,,,,"Reedsport, OR (232)",,DWR,CDIP
46262,,,,"Santa Barbara Island North, CA (234)",,DWR,CDIP
46263,,,,"Fort Bragg South, CA (235)",,DWR,CDIP
46264,,,,"Kodiak, AK (236)",,DWR,CDIP
46265,,,,"Nome, AK (241)",,DWR,CDIP
46266,,,,"Del Mar Nearshore, CA (153)",,DWR,CDIP
48011,48011,-164.185,67.582,"3-meter discus buoy; DACT payload; Red Dog Mine, Chukchi Sea",48,Moored Buoys,NDBC
51000,51000,-153.8,23.53,3DV05 (AM) Northern Hawaii One,51,Moored Buoys,NDBC
51001,51001,-167.98,19.98,3DV47 (SC) Northwestern Hawaii One,51,Moored Buoys,NDBC
51002,51002,-157.68,17.03,3DV50 (SC) Southwestern Hawaii,51,Moored Buoys,NDBC
51003,51003,-160.57,19.28,3D16 (AM) Western Hawaii,51,Moored Buoys,NDBC
51004,51004,-152.38,17.6,3D20 (SC) Southeastern Hawaii,51,Moored Buoys,NDBC
51026,51026,-156.93,21.35,"3-meter discus buoy; DACT payload; Northern Molokai, HI",51,Moored Buoys,NDBC
51028,51028,-153.913,0,"3-meter discus buoy; ARES 4.4 payload; Christmas Island, Penrhyn Basin, Central Pacific ",51,Moored Buoys,NDBC
51100,51100,-153.9,23.558,"3-meter discus buoy; AMPS payload; NORTHERN HAWAII TWO - 252NM NE of Honolulu, HI",51,Moored Buoys,NDBC
51101,51101,-162.22,24.32,3D61 (AR) Northwestern Hawaii Two,51,Moored Buoys,NDBC
51201,,,,"Waimea Bay, HI (106) ",,DWR,CDIP
51202,,,,"Mokapu Point, HI (098)",,DWR,CDIP
51205,,,,"Pauwela, Maui, HI (187)",,DWR,CDIP
51206,,,,"Hilo, Hawaii, HI (188)",,DWR,CDIP
51207,,,," Kaneohe Bay, HI (198)",,DWR,CDIP
51208,,,,"Hanalei, Kauai, HI (202)",,DWR,CDIP
51209,,,,"Aunuu, American Samoa (189)",,DWR,CDIP
51210,,,,"Kaneohe Bay, WETS, HI (225)",,DWR,CDIP
51211,,,,"Pearl Harbor Entrance, HI (233)",,DWR,CDIP
51212,,,,"Barbers Point, Kalaeloa, HI (238)",,DWR,CDIP
51213,,,,"Kaumalapau Southwest, Lanai, HI (239)",,DWR,CDIP
52200,,,,"Ipan, Guam (121)",,DWR,CDIP
52201,,,,"Kalo, Majuro, Marshall Islands (163)",,DWR,CDIP
52202,,,,"Ritidian Point, Guam (196)",,DWR,CDIP
52009,52009,,,3-meter discus buoy; GSBP payload; De Soto Valley,51,Moored Buoys,NDBC
52211,,,,"Tanapag, Saipan, NMI (197)",,DWR,CDIP
